"Municipality"; ".. Anesthesiologist"; ".. General Surgeon"; ".. General Physician"; ".. Gineco Obstetra"; ".. Family Physician"; ".. Pediatrician"; ".. Psychiatrist" ; ".. Radiologist"; ".. Sanitary"; ".. Others"; "Dental surgeon"; "Nurse"; "Physiotherapist"; "Speech therapist"; "Nutritionist"; "Pharmacist"; "Social worker"; " Psychologist ";" Nursing Assistant ";" Nursing Technician ";" Total "
"231250 São João do Jaguaribe";-;-;8;-;5;-;-;1;-;-;5;16;3;1;-;1;1;1;1;17;60
"231260 São Luís do Curu";-;-;2;1;6;-;-;-;-;1;4;11;5;-;-;2;1;3;6;4;46
"231270 Senador Pompeu";-;-;13;1;14;-;2;2;-;3;19;28;9;1;2;6;5;5;14;45;169
"231280 Senador Sá";-;-;-;-;3;-;-;1;-;-;1;8;2;-;1;1;-;1;2;5;25
"231290 Sobral";75;80;334;98;68;87;19;58;-;476;264;478;165;53;63;66;72;90;51;676;3273
"231300 Solonópole";1;1;8;1;7;1;1;2;-;2;11;24;5;1;1;7;1;2;6;46;128
"231310 Tabuleiro do Norte";1;4;20;10;11;-;-;2;-;3;27;46;14;1;5;1;5;6;9;53;218
"231320 Tamboril";1;1;9;1;11;1;1;2;-;3;12;36;8;2;2;3;3;3;14;18;131
"231325 Tarrafas";-;-;4;-;4;-;-;1;-;2;5;8;4;1;2;-;-;1;4;8;44
"231330 Tauá";5;11;67;10;2;7;2;12;-;41;56;110;30;9;15;7;24;20;5;168;601
"231335 Tejuçuoca";-;-;7;1;8;1;-;1;-;4;10;16;2;1;-;1;1;1;16;17;87
"231340 Tianguá";8;8;87;18;28;14;1;12;-;30;22;105;12;6;6;9;9;11;1;252;639
"231350 Trairi";-;-;14;2;20;-;1;2;-;-;13;50;11;2;5;3;6;4;6;42;181
"231355 Tururu";-;-;11;-;7;-;-;-;-;-;3;24;2;-;2;2;1;1;4;11;68
"231360 Ubajara";-;1;21;2;16;1;1;-;-;6;31;44;7;1;1;2;3;3;14;64;218
"231370 Umari";-;-;5;-;3;-;-;-;-;-;3;13;2;-;1;1;1;1;-;21;51
"231375 Umirim";-;-;8;1;7;-;1;1;-;-;6;27;7;-;1;1;2;2;4;16;84
"231380 Uruburetama";-;-;15;-;14;-;1;-;-;1;8;31;4;2;1;1;1;2;10;28;119
"231390 Uruoca";-;-;4;1;7;-;-;2;-;-;9;22;3;-;2;2;1;-;6;15;74
"231395 Varjota";-;-;5;-;10;-;1;2;-;-;8;39;7;3;9;2;2;5;7;24;124
"231400 Várzea Alegre";9;7;26;11;18;4;1;4;2;2;19;40;6;1;3;2;3;4;16;62;240
"231410 Viçosa do Ceará";4;1;25;5;19;5;1;1;-;-;22;42;10;1;2;5;7;4;-;72;226
"240010 Acari";1;1;4;1;5;-;-;-;-;1;5;8;2;-;2;1;1;1;2;19;54
"240020 Açu";5;5;44;14;21;6;2;16;-;28;39;82;18;6;7;8;13;5;3;196;518
"240030 Afonso Bezerra";-;-;5;-;5;-;-;-;-;-;8;13;2;1;1;2;2;1;1;18;59
"240040 Água Nova";-;-;1;-;2;-;-;-;-;-;2;2;1;1;-;1;1;1;-;4;16
"240050 Alexandria";10;22;30;8;7;5;2;8;-;24;21;31;5;3;7;2;-;2;-;49;236
"240060 Almino Afonso";7;5;6;-;2;-;-;-;-;-;10;7;2;1;2;-;2;-;1;17;62
"240070 Alto do Rodrigues";-;-;6;1;5;-;-;3;-;9;6;10;9;6;3;1;2;4;-;25;90
"240080 Angicos";2;3;4;1;5;1;1;1;-;4;8;10;4;1;2;1;2;1;-;17;68
"240090 Antônio Martins";-;1;6;-;3;-;-;-;-;-;5;9;3;-;1;1;-;-;2;4;35
"240100 Apodi";2;3;12;3;11;-;1;1;-;5;27;33;14;3;8;5;3;7;-;102;240
"240110 Areia Branca";1;1;5;3;8;1;2;1;-;6;12;22;20;4;8;3;10;6;-;42;155
"240120 Arês";-;-;5;1;5;1;-;-;-;1;7;12;5;-;2;-;1;2;-;30;72
"240130 Augusto Severo";-;-;1;-;3;-;-;-;-;-;3;5;4;1;1;1;-;-;3;13;35
"240140 Baía Formosa";-;-;7;-;-;-;1;-;-;-;5;9;3;-;1;-;1;1;-;21;49
"240145 Baraúna";-;1;3;1;12;-;1;-;-;4;10;28;7;1;2;1;5;3;-;39;118
"240150 Barcelona";-;-;2;-;3;-;-;1;-;-;4;6;2;1;1;1;-;1;-;18;40
"240160 Bento Fernandes";-;-;2;-;2;-;-;-;-;-;1;4;-;-;-;-;-;-;-;6;15
"240165 Bodó";-;-;1;1;1;1;1;-;-;-;2;4;1;-;-;1;-;1;-;11;25
"240170 Bom Jesus";-;1;6;1;4;-;1;1;-;3;4;12;3;1;1;2;1;2;1;22;66
"240180 Brejinho";-;-;7;-;6;-;-;-;-;2;6;13;4;-;1;-;-;2;-;19;60
"240185 Caiçara do Norte";-;-;3;-;3;-;-;-;-;-;3;7;2;1;3;-;1;1;-;16;40
"240190 Caiçara do Rio do Vento";-;-;2;-;2;-;-;-;-;-;2;5;1;-;1;1;-;1;-;15;30
"240200 Caicó";11;23;41;16;25;18;6;8;-;130;141;122;31;20;20;20;16;28;-;261;937
"240210 Campo Redondo";-;-;3;-;5;-;-;-;-;-;6;12;2;2;3;-;3;1;-;25;62
"240220 Canguaretama";-;-;6;-;16;-;-;-;-;2;23;30;2;1;3;1;3;3;5;54;149
"240230 Caraúbas";3;7;10;-;8;1;3;4;-;11;15;22;5;2;4;4;4;4;14;24;145
"240240 Carnaúba dos Dantas";-;1;4;-;3;-;1;-;-;-;5;7;2;2;3;1;3;1;-;19;52
"240250 Carnaubais";-;-;5;1;4;-;-;-;-;5;5;12;3;-;1;-;1;1;3;22;63
"240260 Ceará-Mirim";2;2;18;7;27;8;5;5;-;27;42;51;8;4;12;6;14;10;2;113;363
"240270 Cerro Corá";-;-;8;1;6;-;-;-;-;-;9;15;5;-;2;2;1;1;1;8;59
"240280 Coronel Ezequiel";-;-;1;-;3;-;-;1;-;-;4;4;2;-;1;1;-;1;4;8;30
"240290 Coronel João Pessoa";-;-;-;-;1;-;-;-;-;-;2;8;3;-;-;-;-;1;-;11;26
"240300 Cruzeta";-;-;5;-;3;-;-;1;-;-;3;7;1;-;2;-;2;2;3;16;45
"240310 Currais Novos";9;12;20;11;17;12;6;21;-;85;60;86;43;18;30;24;24;48;18;143;687
"240320 Doutor Severiano";-;-;6;-;3;-;-;-;-;-;8;10;2;1;1;1;2;2;1;14;51
"240330 Encanto";-;-;4;1;3;-;-;-;-;-;3;7;1;1;1;1;-;1;2;11;36
"240340 Equador";-;-;3;-;2;-;1;-;-;-;3;8;1;-;2;1;-;2;1;12;36
"240350 Espírito Santo";-;-;-;1;5;-;1;-;-;5;4;6;3;1;1;1;1;1;3;4;37
"240360 Extremoz";-;-;16;1;10;-;3;-;-;7;15;24;4;-;5;4;4;5;1;42;141
"240370 Felipe Guerra";-;-;3;-;2;-;-;-;-;-;3;6;2;2;2;-;-;-;-;13;33
"240375 Fernando Pedroza";-;-;5;1;2;-;-;1;-;1;2;4;1;1;1;-;-;1;-;12;32
"240380 Florânia";-;-;3;-;2;-;-;-;-;-;4;13;3;1;1;1;2;3;1;24;58
"240390 Francisco Dantas";-;-;1;-;1;-;-;-;-;-;2;2;4;-;1;-;-;-;-;9;20
"240400 Frutuoso Gomes";3;3;7;-;2;-;-;1;-;4;10;9;6;1;2;1;2;2;-;13;66
"240410 Galinhos";-;-;4;1;1;-;-;1;-;1;1;3;1;-;-;-;1;1;-;11;26
"240420 Goianinha";-;-;23;2;18;1;1;-;-;3;29;30;13;4;4;2;6;5;1;56;198
"240430 Governador Dix-Sept Rosado";-;-;2;-;5;1;-;-;-;1;5;11;3;2;2;1;1;2;-;21;57
"240440 Grossos";-;-;1;-;6;-;-;-;-;-;5;11;2;1;1;1;-;2;2;16;48
"240450 Guamaré";12;3;18;8;8;3;3;3;-;24;19;37;12;3;10;2;9;10;-;114;298
"240460 Ielmo Marinho";-;-;4;-;5;-;-;-;-;-;6;10;2;-;1;1;1;3;-;19;52
"240470 Ipanguaçu";-;-;7;-;4;-;-;-;-;1;7;14;2;2;1;2;1;1;7;11;60
"240480 Ipueira";-;-;1;1;1;-;-;1;-;3;1;2;2;1;1;1;1;1;1;7;25
"240485 Itajá";-;1;6;1;3;-;-;1;-;1;4;10;2;1;1;2;1;-;-;24;58
"240490 Itaú";-;1;5;1;3;-;-;1;-;-;4;10;-;3;1;-;-;1;2;12;44
"240500 Jaçanã";-;-;1;-;4;-;-;-;-;-;4;10;3;-;3;-;3;2;-;7;37
"240510 Jandaíra";-;-;2;-;3;-;-;-;-;-;3;7;3;1;1;1;1;1;1;11;35
"240520 Janduís";-;-;4;-;3;-;-;-;-;-;4;9;3;1;1;1;1;1;-;15;43
"240530 Januário Cicco";-;-;3;-;4;-;2;-;-;1;5;7;2;1;1;-;1;1;-;19;47
"240540 Japi";-;-;1;-;3;-;-;-;-;-;3;6;2;-;1;-;1;1;-;11;29
"240550 Jardim de Angicos";-;-;-;-;1;-;-;-;-;-;2;1;1;1;1;-;-;1;-;11;19
"240560 Jardim de Piranhas";-;-;2;1;6;-;1;1;-;1;8;11;2;1;2;-;-;1;-;19;56
"240570 Jardim do Seridó";2;1;9;1;5;-;-;1;-;-;6;10;3;1;2;-;2;2;-;25;70
"240580 João Câmara";-;-;4;2;16;-;2;4;-;14;27;48;11;1;6;3;5;6;4;92;245
"240590 João Dias";-;-;2;-;1;-;-;-;-;-;6;3;3;1;-;-;-;1;-;10;27
"240600 José da Penha";-;-;4;-;3;-;-;1;-;-;5;9;3;-;1;1;1;-;-;15;43
"240610 Jucurutu";4;4;3;3;6;-;1;1;-;1;10;21;4;2;2;1;2;3;-;32;100
"240615 Jundiá";-;-;3;1;4;1;-;-;-;1;5;3;6;1;1;-;1;1;1;23;52
"240620 Lagoa d'Anta";-;-;5;1;3;-;1;-;-;1;2;11;2;1;1;1;1;1;-;14;45
"240630 Lagoa de Pedras";-;-;1;-;4;1;1;1;-;1;4;7;1;1;1;-;-;1;1;8;33
"240640 Lagoa de Velhos";-;-;4;-;1;-;-;-;-;1;1;3;1;-;1;1;-;1;-;12;26
"240650 Lagoa Nova";-;1;10;3;7;-;1;2;-;5;10;14;5;1;3;2;5;2;4;23;98
"240660 Lagoa Salgada";-;-;2;1;4;1;1;-;-;2;5;8;3;-;2;-;2;1;-;9;41
"240670 Lajes";1;2;3;1;4;-;1;-;-;1;8;16;2;1;3;2;2;2;1;41;91
"240680 Lajes Pintadas";-;-;7;-;2;-;-;-;-;-;2;8;2;-;-;-;-;-;-;21;42
"240690 Lucrécia";1;-;4;-;2;-;-;-;-;-;11;7;4;-;1;1;1;1;2;14;49
"240700 Luís Gomes";-;-;5;-;5;-;-;-;-;-;6;12;2;1;2;-;1;1;3;9;47
"240710 Macaíba";5;2;35;38;29;21;3;12;-;30;46;96;24;15;12;10;24;20;25;173;620
"240720 Macau";3;-;7;4;12;1;1;3;-;4;21;30;7;2;7;1;9;5;1;63;181
"240725 Major Sales";-;-;6;-;2;-;-;-;-;-;3;7;2;1;1;-;1;1;-;15;39
"240730 Marcelino Vieira";-;-;5;-;4;-;-;-;-;-;4;8;3;-;1;1;1;1;2;7;37
"240740 Martins";-;-;4;-;4;1;-;-;-;-;8;10;2;1;2;1;-;1;1;12;47
"240750 Maxaranguape";-;-;-;-;8;-;1;-;-;-;5;20;5;1;5;1;1;2;-;19;68
"240760 Messias Targino";-;1;5;-;4;-;-;-;-;-;3;6;5;1;2;-;-;1;-;5;33
"240770 Montanhas";-;-;6;-;7;-;1;-;-;-;6;12;3;1;2;-;1;1;2;15;57
"240780 Monte Alegre";-;-;10;2;11;-;1;3;-;3;12;15;8;1;4;1;2;4;-;49;126
"240790 Monte das Gameleiras";-;-;4;-;1;-;-;-;-;-;2;3;2;-;1;2;1;2;-;5;23
"240800 Mossoró";142;178;431;143;64;122;29;65;-;666;262;527;211;39;69;51;186;108;27;986;4306
"240810 Natal";801;714;1393;587;180;716;138;341;2;3851;528;1803;514;201;297;313;280;332;124;4434;17549
"240820 Nísia Floresta";-;-;16;1;13;1;3;2;-;6;14;27;6;1;5;3;6;6;1;38;149
"240830 Nova Cruz";-;-;20;1;17;2;2;2;-;8;26;67;12;2;6;2;9;11;2;73;262
"240840 Olho-d'Água do Borges";-;-;3;-;2;-;-;-;-;-;2;6;3;1;1;1;-;1;-;17;37
"240850 Ouro Branco";-;-;3;-;2;-;-;-;-;-;1;4;-;1;1;1;-;1;-;13;27
"240860 Paraná";-;-;2;-;2;-;-;-;-;-;2;6;1;-;1;1;1;-;-;11;27
"240870 Paraú";-;-;6;1;2;-;-;-;-;2;3;7;2;1;1;1;1;1;-;14;42
"240880 Parazinho";-;-;1;1;3;-;1;1;-;-;2;7;3;2;2;2;4;3;-;19;51
"240890 Parelhas";2;3;6;4;8;1;1;-;-;7;20;16;5;2;4;2;1;5;1;46;134
"240325 Parnamirim";67;106;184;54;65;47;9;39;1;204;150;431;92;24;65;33;78;68;3;769;2489
"240910 Passa e Fica";-;1;4;-;6;-;-;-;-;-;4;15;-;-;1;2;1;-;2;25;61
"240920 Passagem";-;-;1;-;2;-;-;-;-;-;1;5;4;-;1;-;1;1;1;7;24
"240930 Patu";1;-;11;2;6;-;1;-;-;3;13;12;6;4;3;-;6;4;4;18;94
"240940 Pau dos Ferros";13;21;49;38;10;7;3;29;-;68;52;126;35;15;19;15;17;17;-;217;751
"240950 Pedra Grande";-;-;3;-;2;-;-;-;-;-;2;8;2;-;1;-;-;1;-;22;41
"240960 Pedra Preta";-;-;2;1;2;-;-;-;-;-;2;4;3;-;1;-;-;1;3;6;25
"240970 Pedro Avelino";-;-;1;1;5;-;1;-;-;1;4;13;2;-;1;1;1;1;1;15;48
"240980 Pedro Velho";-;-;5;1;6;1;1;-;-;1;9;15;2;1;2;1;1;3;2;25;76
"240990 Pendências";-;-;8;-;6;-;1;-;-;5;6;14;5;2;3;-;3;2;-;25;80
"241000 Pilões";-;1;4;1;3;1;-;-;-;1;3;4;2;-;2;2;1;-;-;16;41
"241010 Poço Branco";-;-;2;1;7;2;-;-;-;-;6;12;2;-;1;1;-;2;1;18;55
"241020 Portalegre";8;8;9;1;3;1;-;-;-;3;7;5;-;-;1;-;1;-;3;14;64
"241025 Porto do Mangue";-;-;2;-;2;-;-;-;-;-;2;5;2;1;2;1;2;3;-;23;45
"241040 Pureza";-;-;4;1;6;-;1;1;-;-;7;14;2;-;1;-;1;1;2;17;58
"241050 Rafael Fernandes";-;-;2;-;2;-;-;-;-;-;2;5;3;1;1;2;1;-;-;11;30
"241060 Rafael Godeiro";3;4;10;-;2;-;-;-;-;1;3;8;3;1;1;-;-;-;-;15;51
"241070 Riacho da Cruz";-;-;3;-;2;-;-;-;-;-;2;7;2;1;2;1;-;2;-;14;36
"241080 Riacho de Santana";-;-;1;-;2;-;-;-;-;-;2;2;1;1;1;2;2;1;2;3;20
"241090 Riachuelo";-;-;2;-;4;-;-;-;-;-;4;7;2;1;1;1;1;1;-;11;35
"240895 Rio do Fogo";-;1;8;1;8;-;-;1;-;3;9;16;5;1;3;1;2;2;1;28;90
"241100 Rodolfo Fernandes";-;-;1;-;2;-;-;1;-;-;2;9;2;-;2;2;-;1;-;13;35
"241110 Ruy Barbosa";-;-;6;2;2;-;1;1;-;-;3;4;1;-;2;1;-;2;-;13;38
"241120 Santa Cruz";21;2;16;31;11;37;3;5;-;70;23;123;54;7;19;27;21;18;28;190;706
"240933 Santa Maria";-;-;1;-;2;-;-;-;-;-;2;9;2;-;1;1;1;1;-;9;29
"241140 Santana do Matos";-;-;3;-;7;-;-;-;-;-;8;11;4;1;1;1;3;1;1;25;66
"241142 Santana do Seridó";-;-;3;-;1;1;-;-;-;-;2;6;1;-;1;-;-;2;-;11;28
"241150 Santo Antônio";5;11;30;7;14;8;3;6;-;21;21;45;16;6;8;4;7;10;-;150;372
"241160 São Bento do Norte";-;-;1;-;2;-;-;-;-;-;2;4;2;1;-;-;-;1;-;5;18
"241170 São Bento do Trairí";-;-;2;-;2;-;-;-;-;-;3;6;-;-;-;-;-;-;1;10;24
"241180 São Fernando";-;-;-;-;2;1;-;1;-;-;2;3;1;-;1;1;-;1;-;6;19
"241190 São Francisco do Oeste";-;-;-;-;1;-;-;-;-;-;3;2;2;1;1;-;-;1;-;9;20
"241200 São Gonçalo do Amarante";6;8;56;15;39;15;4;12;-;27;59;60;17;2;13;9;12;13;15;74;456
"241210 São João do Sabugi";-;-;-;1;3;-;-;-;-;-;3;3;2;1;2;1;1;1;-;15;33
"241220 São José de Mipibu";11;3;28;38;22;20;3;9;-;24;32;67;18;8;11;4;19;17;5;114;453
"241230 São José do Campestre";-;-;3;1;6;1;1;-;-;1;10;17;3;1;2;2;3;4;2;22;79
"241240 São José do Seridó";-;-;3;-;2;-;-;-;-;-;2;5;1;-;1;-;-;2;-;13;29
"241250 São Miguel";1;-;9;3;4;-;-;2;-;3;6;25;8;1;3;1;2;2;-;37;107
"241255 São Miguel do Gostoso";-;-;5;-;4;1;-;2;-;-;4;12;4;-;2;-;1;3;-;21;59
"241260 São Paulo do Potengi";1;3;24;2;8;1;2;-;-;5;23;34;9;1;6;13;6;5;-;74;217
"241270 São Pedro";-;-;1;-;3;-;-;-;-;-;4;6;1;1;1;-;-;1;-;13;31
"241280 São Rafael";-;-;9;1;4;-;-;1;-;2;4;9;5;1;1;1;1;1;-;9;49
"241290 São Tomé";-;1;2;1;6;-;1;1;-;1;6;9;3;1;2;2;-;1;-;20;57
"241300 São Vicente";-;-;2;-;3;-;-;-;-;-;4;10;5;2;1;1;1;1;1;21;52
"241310 Senador Elói de Souza";-;-;3;-;3;-;1;-;-;-;4;6;2;1;1;1;1;2;-;10;35
"241320 Senador Georgino Avelino";-;-;-;-;2;-;-;-;-;-;2;4;1;1;2;-;-;1;-;10;23
"241030 Serra Caiada";-;-;8;1;5;-;-;1;-;2;5;14;3;1;1;-;1;1;-;20;63
"241330 Serra de São Bento";-;-;3;-;3;-;-;-;-;-;4;6;3;-;1;1;-;1;-;17;39
"241335 Serra do Mel";-;-;7;1;5;-;2;1;-;2;5;10;3;2;3;-;3;1;-;17;62
"241340 Serra Negra do Norte";-;-;3;-;3;-;-;-;-;-;3;6;2;1;1;-;1;1;-;10;31
"241350 Serrinha";-;-;4;-;2;-;1;-;-;-;5;6;2;1;1;-;-;1;-;9;32
"241355 Serrinha dos Pintos";-;-;3;-;2;-;-;-;-;-;2;5;3;-;1;-;1;1;-;13;31
"241360 Severiano Melo";1;1;3;-;2;-;-;-;-;1;7;9;2;1;1;2;3;1;-;20;54
"241370 Sítio Novo";-;-;2;-;3;-;-;-;-;-;4;6;1;-;1;-;-;1;2;14;34
"241380 Taboleiro Grande";-;-;5;-;1;-;-;-;-;2;3;7;3;1;1;1;-;1;-;9;34
"241390 Taipu";-;2;4;1;5;-;-;-;-;1;5;10;1;1;2;2;3;1;2;17;57
"241400 Tangará";-;-;5;-;11;-;-;-;-;-;7;15;1;-;1;1;1;2;1;23;68
"241410 Tenente Ananias";1;1;3;1;5;-;-;2;-;1;11;15;4;1;2;-;1;2;2;6;58
"241415 Tenente Laurentino Cruz";-;-;-;-;3;-;-;-;-;-;3;10;4;1;1;1;-;1;-;22;46
"241105 Tibau";-;-;8;1;3;-;-;1;-;1;6;16;4;1;2;1;2;1;-;30;77
"241420 Tibau do Sul";-;-;7;1;6;-;1;1;-;-;7;16;3;1;2;1;1;2;-;24;73
"241430 Timbaúba dos Batistas";-;-;6;1;1;1;-;1;-;-;2;15;1;1;1;1;1;1;2;19;54
"241440 Touros";-;1;31;-;-;-;2;2;-;2;20;31;6;2;5;1;4;4;1;61;173
"241445 Triunfo Potiguar";-;-;4;-;3;-;-;-;-;-;3;6;2;1;1;1;2;-;-;12;35
"241450 Umarizal";-;-;3;-;5;1;1;-;-;1;8;10;3;1;1;-;-;1;5;12;52
"241460 Upanema";-;-;4;2;7;-;-;-;-;1;10;11;4;-;2;-;3;2;8;6;60
"241470 Várzea";-;-;3;1;4;-;-;-;-;-;5;6;1;-;2;-;1;1;-;11;35
"241475 Venha-Ver";-;-;-;-;2;-;-;-;-;-;2;7;1;1;1;-;-;1;1;7;23
"241480 Vera Cruz";-;-;8;-;6;1;1;-;-;3;6;14;2;2;2;1;1;2;1;23;73
"241490 Viçosa";-;-;1;-;1;-;-;-;-;-;1;3;2;1;2;-;1;1;-;11;24
"241500 Vila Flor";-;-;2;-;1;-;-;-;-;-;2;4;1;1;1;-;-;1;1;8;22
"250010 Água Branca";-;-;9;1;5;1;2;-;-;6;11;19;7;2;3;1;-;3;-;21;91
"250020 Aguiar";-;-;9;-;2;1;1;-;-;1;7;17;4;1;2;2;2;2;-;15;66
"250030 Alagoa Grande";-;1;14;2;12;1;1;1;-;4;15;31;4;1;3;3;2;2;4;32;133
"250040 Alagoa Nova";-;-;7;1;8;1;1;-;-;1;14;19;4;-;2;1;1;2;4;18;84
"250050 Alagoinha";-;-;3;1;8;1;2;1;-;5;9;11;5;3;1;1;2;3;-;14;70
"250053 Alcantil";-;1;2;1;3;1;-;1;-;2;3;9;5;-;2;1;2;2;-;16;51
"250057 Algodão de Jandaíra";-;-;-;-;1;-;-;-;-;-;1;3;2;1;1;1;1;1;-;5;17
"250060 Alhandra";-;1;22;1;9;1;1;1;-;9;19;39;6;1;2;1;4;3;-;32;152
"250073 Amparo";-;-;2;-;1;-;-;-;-;-;4;6;2;-;1;1;1;1;-;9;28
"250077 Aparecida";-;-;3;-;5;-;-;4;-;-;10;7;1;-;1;-;1;1;-;10;43
"250080 Araçagi";-;-;2;1;10;-;1;1;-;-;10;14;2;1;1;1;1;3;-;17;65
"250090 Arara";-;-;6;-;6;-;-;1;-;-;6;20;4;-;1;1;1;1;2;13;62
"250100 Araruna";-;-;10;1;9;-;2;1;-;9;15;33;7;4;1;1;2;3;1;29;128
"250110 Areia";-;-;7;1;10;1;2;4;-;3;17;34;5;2;4;2;3;5;1;36;137
"250115 Areia de Baraúnas";-;-;4;-;1;-;1;-;-;-;1;4;2;-;1;1;1;-;-;6;22
"250120 Areial";-;-;1;-;3;-;1;1;-;2;10;3;2;1;2;-;-;1;-;6;33
"250130 Aroeiras";-;-;10;1;12;-;1;-;-;2;15;27;4;-;2;1;2;3;2;21;103
"250135 Assunção";-;-;-;1;2;-;-;-;-;-;2;8;5;1;1;-;2;2;-;5;29
"250140 Baía da Traição";-;-;5;-;4;-;-;-;-;-;7;23;3;-;2;3;2;2;-;28;79
"250150 Bananeiras";-;1;13;2;13;1;2;1;-;9;16;29;4;2;4;7;1;5;3;26;139
"250153 Baraúna";-;-;1;-;2;-;-;-;-;1;2;8;1;1;-;2;1;1;2;9;31
"250160 Barra de Santa Rosa";-;-;1;-;6;-;1;-;-;-;7;23;2;-;1;4;2;2;5;11;65
"250157 Barra de Santana";-;-;1;1;4;-;1;-;-;3;7;9;5;-;3;1;2;3;-;20;60
"250170 Barra de São Miguel";-;-;-;-;3;-;-;-;-;-;3;4;3;1;1;1;-;1;-;11;28
"250180 Bayeux";7;-;30;27;30;21;3;12;-;40;55;98;20;10;12;10;21;19;1;98;514
"250190 Belém";2;3;11;4;8;2;2;4;-;11;18;34;7;2;4;3;4;4;-;50;173
"250200 Belém do Brejo do Cruz";-;-;5;-;3;1;1;1;-;3;6;14;5;1;3;-;3;2;3;12;63
"250205 Bernardino Batista";-;-;1;-;3;-;-;-;-;-;3;9;1;-;1;1;1;1;-;6;27
"250210 Boa Ventura";-;-;1;1;3;1;1;1;-;1;3;10;3;1;2;2;1;2;-;16;49
"250215 Boa Vista";-;-;4;-;2;-;-;-;-;-;4;13;3;-;-;1;-;2;1;8;38
"250220 Bom Jesus";-;-;-;-;1;-;-;1;-;1;1;8;4;-;2;-;2;2;-;7;29
"250230 Bom Sucesso";-;-;4;-;2;-;1;-;-;1;3;12;2;2;1;1;1;1;2;13;46
"250240 Bonito de Santa Fé";-;1;10;-;5;-;-;-;-;-;6;18;3;-;2;2;1;3;1;32;84
"250250 Boqueirão";-;-;10;1;8;-;2;-;-;7;20;32;9;1;2;3;6;12;-;40;153
"250270 Borborema";-;-;1;-;3;-;1;-;-;-;3;4;2;1;1;-;-;2;-;8;26
"250280 Brejo do Cruz";1;-;10;-;5;-;1;-;-;1;12;21;6;2;3;1;4;5;-;23;95
"250290 Brejo dos Santos";-;-;1;-;3;-;-;-;-;-;5;4;1;-;-;-;-;-;3;-;17
"250300 Caaporã";-;3;27;2;12;1;2;1;-;3;20;31;8;4;8;1;4;11;7;32;177
"250310 Cabaceiras";-;-;4;1;3;1;-;3;-;1;6;11;2;-;1;1;1;1;-;13;49
"250320 Cabedelo";4;4;32;21;31;13;4;6;-;45;51;133;40;15;40;12;28;30;2;150;661
"250330 Cachoeira dos Índios";-;-;5;-;5;-;-;1;-;2;9;9;8;-;1;2;1;3;-;12;58
"250340 Cacimba de Areia";-;-;2;-;2;-;-;-;-;-;2;7;1;2;1;1;3;2;-;11;34
"250350 Cacimba de Dentro";-;-;4;2;7;-;1;1;-;1;7;20;5;1;2;-;1;3;1;27;83
"250355 Cacimbas";-;-;5;-;4;-;-;1;-;-;6;8;2;-;1;1;-;1;-;21;50
"250360 Caiçara";-;-;2;-;3;-;1;1;-;-;4;10;3;-;1;2;1;2;1;11;42
"250370 Cajazeiras";15;19;64;40;27;21;6;25;-;73;66;183;63;6;22;31;43;23;-;276;1003
"250375 Cajazeirinhas";-;-;3;-;2;1;-;2;-;1;9;8;1;-;1;-;1;3;-;13;45
"250380 Caldas Brandão";-;-;5;-;3;-;-;1;-;-;4;9;2;1;1;-;-;1;-;13;40
"250390 Camalaú";-;-;-;-;2;-;-;-;-;-;7;7;2;-;-;1;-;1;-;15;35
"250400 Campina Grande";220;144;456;181;130;214;31;138;1;1490;321;984;388;63;109;123;213;262;56;1672;7196
"250403 Capim";-;-;1;-;3;-;1;-;-;-;4;9;1;-;1;1;-;2;-;14;37
"250407 Caraúbas";-;-;-;-;2;-;-;-;-;1;2;6;1;-;1;-;-;1;-;4;18
"250410 Carrapateira";-;-;1;-;1;-;-;-;-;-;2;2;2;-;-;2;-;1;-;5;16
"250415 Casserengue";-;-;1;-;4;-;1;1;-;2;6;6;3;-;1;-;2;3;-;10;40
"250420 Catingueira";-;-;6;-;2;-;-;1;-;1;4;12;3;-;2;1;-;1;-;18;51
"250430 Catolé do Rocha";4;3;25;10;10;1;-;7;-;17;18;60;22;6;9;7;11;9;1;58;278
"250435 Caturité";-;-;-;-;3;-;-;1;-;3;4;8;2;-;2;1;1;1;-;11;37
"250440 Conceição";-;-;8;-;8;1;3;2;-;12;22;37;12;3;1;2;6;9;-;36;162
"250450 Condado";-;-;3;-;2;1;1;1;-;-;12;9;3;-;1;-;1;2;-;14;50
"250460 Conde";-;-;5;-;9;1;3;-;-;5;15;31;7;6;6;5;5;14;-;41;153
"250470 Congo";-;-;2;-;2;-;1;-;-;-;6;8;1;1;1;1;1;4;-;6;34
"250480 Coremas";1;2;15;2;7;4;2;4;-;2;21;23;9;-;6;1;5;6;-;28;138
"250485 Coxixola";-;-;1;-;1;-;-;-;-;-;2;2;1;-;1;-;-;1;-;3;12
"250490 Cruz do Espírito Santo";-;-;7;-;7;1;-;-;-;4;8;16;4;1;2;-;1;3;-;15;69
"250500 Cubati";-;-;3;-;4;-;-;-;-;-;4;7;4;1;1;1;1;1;1;7;35
"250510 Cuité";-;-;13;1;8;-;3;8;-;14;16;45;3;-;4;3;5;5;4;37;169
"250523 Cuité de Mamanguape";-;-;2;-;3;-;1;-;-;-;4;9;4;1;1;1;-;1;-;7;34
